,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
27,25982,26450,26261,25907,25509,25490,25307,25049,25061,25179,26178,27700,31351,34766,38745,40248,41268,41476,42057,41752,40727,39835,39319,39023,39033,38975,39005,39204,39428,39794,40453,41549,42841,44325,45912,46194,46145,45791,44919,43997,43535,41955,39760,37319,34959,32742,30523,29402
28,29041,29560,29424,28844,28528,28585,28152,27775,27612,27841,28615,29994,33374,36787,40820,42722,43610,43678,44074,44076,43521,43636,44027,44148,44549,44460,44247,43819,43901,43866,44156,44884,45578,46334,46261,46420,46330,46075,46209,45701,44440,42516,40670,38442,35906,33612,31495,30113
29,29875,30222,30085,29558,29116,29084,28734,28415,28288,28462,29361,30859,34300,37894,41981,43563,44341,44566,44821,44592,44147,43342,42618,41979,41631,41401,41414,41365,41592,41997,42883,44046,45057,45728,46417,46825,46951,46986,46548,45783,45144,43705,42130,39895,37591,35555,33399,32056
30,31710,31939,31509,31151,30776,30687,30459,30009,29866,29996,30724,32061,35435,38969,43115,44253,45188,45486,45974,45615,44989,44804,44408,44470,44800,44610,44520,44499,44661,44778,44971,45608,46440,46860,46996,46732,46632,46662,46716,46017,44784,42838,40845,38443,36014,33865,31677,30418
31,30106,30624,30331,29633,29144,29085,28796,28256,28142,28271,28937,30106,33452,36508,40207,41982,43452,43970,44604,45070,44982,44813,45025,44880,45101,44937,44618,44190,44087,43674,43639,44080,44676,45030,45642,45885,45915,45632,45231,44129,42573,40972,39115,37002,35178,33676,31577,30320
32,30035,30169,29834,28989,28459,28281,27975,27353,27032,26895,26900,27317,28711,30103,31748,32746,34804,36582,37861,37752,37482,37220,36816,36448,35940,35252,34966,34685,34855,35327,36127,37207,38676,40380,42296,43253,42866,42377,41815,40868,39868,38509,37203,35813,34204,33068,31512,30584
33,30164,30504,30281,29356,28753,28572,28204,27818,27427,27160,27236,27495,28345,29062,30041,30256,31693,32962,34052,34677,35087,35205,34977,34743,34896,35009,35081,35078,35603,36174,37381,38518,39678,41336,43075,43603,43148,42278,41391,39871,38667,36842,35140,32981,30921,29222,27159,26019
34,25775,26014,25737,25158,25076,24827,24606,24157,24115,24317,25353,26849,30282,33803,37765,39786,41012,41269,42010,42344,41899,41097,41528,41491,41465,40942,40396,39813,39978,39792,40217,41274,42723,43711,44387,45082,45047,44690,44348,44056,42953,41328,39428,37328,35189,33182,31015,29885
35,29670,30061,29908,29408,29051,28920,28543,28154,28055,28264,28994,30300,33654,36708,40726,41998,42829,42962,43308,43136,42771,42606,42436,42454,42750,42934,42827,42792,42831,42601,42566,43282,44060,45033,45432,44819,44440,44285,43702,42546,40962,39041,36985,34886,32707,30768,28751,27339
36,27131,27517,27430,26936,26615,26519,26328,26090,26088,26196,27220,28401,31929,35364,39160,40313,41005,40736,41194,40867,40055,39265,38916,38689,39067,39075,39002,38931,39138,39145,39333,40357,41589,42727,44045,44517,44283,43710,43180,42825,41938,40059,38319,35972,33508,31722,29596,28254
37,27771,28164,27863,27332,26646,26506,26184,25687,25370,25650,26625,27898,31160,34246,37649,39089,39735,39524,39933,39655,38788,38498,38169,37613,37414,36972,36514,36256,36447,36488,36887,38255,39814,41687,43370,44265,44249,43984,42845,42098,40633,38974,36801,34582,32081,30328,28231,26989
38,26641,26920,26715,25925,25297,25020,24236,23731,23238,23254,23864,24879,27893,31084,34809,36607,37632,37822,38839,39049,39030,39047,38932,38847,38965,38600,38059,37375,37032,36509,36451,36942,37769,38863,40464,41240,41093,40332,39324,38105,36479,34803,33308,31462,29566,28202,26617,25514
