,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
100,20724,19921,19451,19223,18798,18349,17906,17754,17665,17641,17884,18278,19549,20671,22077,23379,24900,25454,25866,25838,25503,25034,25016,24997,24818,24296,23836,23490,23385,23627,24192,24642,25715,27116,28878,29719,30448,30995,31172,30677,30316,29200,28319,26974,25905,24710,22713,21468
101,20799,19914,19330,18956,18406,17906,17643,17455,17333,17298,17475,17737,18669,19408,20449,21672,23294,24582,25578,26407,26884,26897,27414,27536,27493,27291,26898,26491,26588,26443,26682,27076,28014,28942,29932,30546,30949,31275,31807,31250,30589,29863,28736,27238,25674,24361,23849,22307
102,20608,20172,19993,19981,19826,19478,19343,19268,19412,19655,20512,21982,24883,27845,31129,32794,33575,33490,33538,33200,32625,32352,32233,32165,32486,32576,32295,32259,32969,33205,33440,34132,34791,35970,37296,37878,37961,38228,37997,36867,35205,33477,31782,29637,27672,25746,24657,23080
103,21338,20611,20182,20316,20033,19668,19447,19304,19443,19704,20615,22123,24918,28047,30964,32238,32959,33020,33403,33410,33187,32786,32725,32557,32465,32185,32044,31802,31916,31665,31463,32190,33208,34276,34955,35471,36006,36512,37217,36643,35209,33677,32137,30260,28573,26550,26378,24939
104,22111,21512,21193,21187,20858,20606,20320,20246,20375,20608,21388,22762,25548,28864,32192,33614,33924,33124,32449,31621,30544,30005,29284,28871,28597,28478,28601,28440,28672,28836,29210,30381,31733,33113,34580,35703,36621,37548,38110,37512,36575,35535,34244,32305,30336,28312,24080,22478
105,23882,23168,22915,22876,22718,22500,22308,22248,22223,22451,23181,24462,27315,30552,33731,35494,36030,35832,36063,35511,34878,34581,34222,34180,34326,34154,33964,33861,33706,33780,33692,34327,35231,36015,36722,37102,37016,37421,37634,37050,35699,34137,32621,30596,28420,26113,25496,24207
106,21483,20810,20486,20768,20582,20505,20599,20485,20433,20428,21103,22396,25135,28124,30995,32632,33731,33404,33805,33573,33088,32814,32702,32788,32786,32443,32189,31841,31630,31059,30875,31613,32535,33286,34299,34891,35062,35716,35904,35113,33794,32706,31462,30201,28644,27185,23440,22088
107,23271,22495,22253,22221,21930,21574,21039,20784,20540,20580,20861,21416,22715,24035,25497,26892,28504,29410,29885,30005,30082,29912,29778,29590,29374,28821,28288,27936,27654,27803,28067,28477,29074,30076,31542,32207,32601,33098,32317,31773,30959,29772,28679,27487,26265,24969,23401,21980
108,20970,20297,19907,19928,19675,19100,18610,18372,18075,17995,18234,18546,19567,20344,21522,22584,24089,25101,25892,26121,26234,26166,26209,26031,25869,25723,25526,25283,25502,25851,26333,26907,28331,29766,31007,31501,31733,32742,33342,32590,31978,31015,29784,28168,26726,25017,24087,22687
109,20914,20325,20186,20255,20120,19812,19630,19407,19284,19299,19991,21396,24354,27532,30960,32700,33651,33564,33808,33970,33962,33681,33599,33623,33924,33790,33543,33435,33610,33354,33206,34006,34994,35937,36363,36770,36918,37191,37536,36532,34912,33549,31895,30004,27983,26221,23487,21974
110,21741,21137,20761,20884,20565,20298,19869,19638,19596,19620,20621,21810,24668,27769,30849,32175,32591,32044,31483,30848,30426,30251,30168,30127,29910,29264,29000,28584,28548,28327,28387,29251,30429,31532,32996,33906,34421,35522,36202,35282,34002,32675,31151,29294,27308,25422,24154,22583
111,20857,20306,20119,20404,20409,20214,19964,19858,19912,19959,20972,22241,25066,28063,31302,32939,33345,33000,32885,32188,31447,30763,29928,29689,29633,29335,29337,29150,29129,29385,29600,30629,31756,32912,34135,35108,36192,37287,37376,36407,35198,33793,32169,30178,28017,26185,22936,21399
112,21337,20652,20469,20677,20476,20164,19829,19572,19513,19636,20494,21749,24645,27879,31106,32491,33073,32264,31753,31179,30438,29931,30061,30225,30605,30755,30853,30928,31193,31352,31398,31815,33133,34023,34891,35289,35744,36285,36135,34876,33375,32043,30284,28557,26631,24878,24158,22839
113,20060,19598,19481,19744,19512,19088,18850,18696,18638,18818,19662,20968,23660,26608,30120,32188,33127,32871,32949,32929,33011,32924,33084,33075,33144,32758,32208,31759,31458,31096,30892,31490,32509,33357,34190,34573,35002,35623,35284,34074,32920,31601,30400,28743,27099,25600,25148,23906
114,21774,21199,20979,21143,21018,20794,20439,20150,20136,20257,20595,21181,22631,23841,25552,26996,28812,29815,30359,30248,30302,30163,30076,30023,29783,29600,29191,28961,28888,28764,28610,29098,30262,31358,33041,33925,34446,34827,34194,33596,32599,31401,30348,29172,27711,26563,24283,23132
115,22841,22307,22151,22118,21880,21445,21052,20836,20388,20263,20602,20817,21692,22512,23650,24449,26119,27522,29205,30326,31100,31206,31678,31899,31698,31770,31227,30556,30277,29763,29665,29947,30648,31714,32860,33963,34686,35673,35237,33981,32863,31533,30396,28788,27185,25795,25915,24418
116,22170,21702,21629,21915,21855,21537,21291,21213,21249,21386,21988,23324,26240,29278,32936,34512,35518,35573,36001,36246,36152,36051,36303,36442,36687,36260,36049,35864,35998,35944,35867,36199,36846,37908,38868,39356,39718,40190,39461,38414,37085,35504,33738,31988,29963,27966,25670,23941
117,23272,22685,22573,22779,22796,22439,22129,21939,22004,22205,23056,24372,27153,30317,33882,35369,35988,35734,36130,35791,35134,34771,34530,34514,34411,34310,34134,33765,33692,33447,33449,34045,34915,35847,36980,37644,38736,39542,39085,38417,36855,35517,33887,31946,29771,27645,26399,24910
118,22867,22202,22039,22285,22116,21679,21367,21032,20938,21127,21736,22844,25683,28703,32173,33735,34447,34585,34770,34620,34142,33553,33335,33061,33030,32467,31928,31569,31254,30976,31198,31905,32950,34093,35633,36533,37714,39035,38475,37672,36738,35590,33793,31873,30219,28233,26139,24702
119,23723,23012,22908,23231,23119,22815,22397,22304,22197,22294,23022,24394,27219,30109,33568,35026,35865,35404,35002,34678,33790,33144,32619,32168,32139,32120,31965,31696,31952,32181,32252,33173,34376,35427,36544,37355,38497,39357,38993,37908,36530,35066,33511,31542,29582,27927,25755,24330
120,23457,22679,22583,22953,22853,22590,22280,22124,22156,22330,23090,24295,26877,29757,33407,35141,35926,35816,35665,34700,34128,33560,33299,32951,32761,32677,32318,31545,31668,31780,31665,32257,33421,34620,35660,36116,37045,37630,36979,36272,34993,33574,32000,30442,28921,27269,24787,23507
